"Time.to.resolution","year","quarter","area"
11,2016,"Q1","W"
13,2016,"Q1",NA
10,2016,"Q1","W"
11,2016,"Q1",NA
11,2016,"Q1",NA
9,2016,"Q1","LSU"
9,2016,"Q1","D"
10,2016,"Q1","D"
12,2016,"Q1","LSU"
5,2016,"Q1","LSU"
12,2016,"Q1","N"
10,2016,"Q1","W"
10,2016,"Q1","W"
10,2016,"Q1",NA
7,2016,"Q1","LSU"
8,2016,"Q1","N"
7,2016,"Q1","LSU"
8,2016,"Q1","D"
13,2016,"Q1","D"
8,2016,"Q1",NA
7,2016,"Q1","W"
9,2016,"Q1",NA
9,2016,"Q1",NA
9,2016,"Q1",NA
15,2016,"Q1","D"
9,2016,"Q1","W"
7,2016,"Q1","W"
8,2016,"Q1","W"
8,2016,"Q1","LSU"
8,2016,"Q1","W"
7,2016,"Q1",NA
7,2016,"Q1",NA
7,2016,"Q1",NA
8,2016,"Q1","W"
7,2016,"Q1",NA
8,2016,"Q1",NA
7,2016,"Q1","W"
8,2016,"Q1","N"
9,2016,"Q1","W"
9,2016,"Q1","D"
9,2016,"Q1",NA
9,2016,"Q1","LSU"
9,2016,"Q1","W"
7,2016,"Q1","D"
8,2016,"Q1","W"
8,2016,"Q1",NA
8,2016,"Q1","D"
0,2016,"Q1","D"
7,2016,"Q1","D"
7,2016,"Q1",NA
7,2016,"Q1",NA
7,2016,"Q1",NA
7,2016,"Q1",NA
11,2016,"Q1",NA
11,2016,"Q1","LSU"
11,2016,"Q1","D"
11,2016,"Q1","LSU"
9,2016,"Q1","W"
9,2016,"Q1","W"
9,2016,"Q1","W"
9,2016,"Q1","LSU"
9,2016,"Q1","D"
9,2016,"Q1",NA
9,2016,"Q1","W"
9,2016,"Q1","W"
6,2016,"Q1",NA
10,2016,"Q1","D"
10,2016,"Q1","W"
6,2016,"Q1",NA
6,2016,"Q1","D"
6,2016,"Q1","D"
6,2016,"Q1","N"
6,2016,"Q1","LSU"
6,2016,"Q1",NA
6,2016,"Q1","LSU"
6,2016,"Q1",NA
6,2016,"Q1",NA
6,2016,"Q1",NA
3,2016,"Q1","N"
6,2016,"Q1","D"
6,2016,"Q1","W"
7,2016,"Q1","W"
8,2016,"Q1","W"
7,2016,"Q1","D"
8,2016,"Q1",NA
7,2016,"Q1","LSU"
7,2016,"Q1",NA
5,2016,"Q1","W"
7,2016,"Q1",NA
7,2016,"Q1",NA
5,2016,"Q1",NA
7,2016,"Q1",NA
7,2016,"Q1",NA
7,2016,"Q1","LSU"
8,2016,"Q1","W"
6,2016,"Q1","N"
8,2016,"Q1","W"
6,2016,"Q1","D"
4,2016,"Q1","N"
7,2016,"Q1",NA
4,2016,"Q1","D"
4,2016,"Q1","N"
4,2016,"Q1","D"
4,2016,"Q1","D"
4,2016,"Q1","D"
6,2016,"Q1","D"
4,2016,"Q1","D"
4,2016,"Q1","N"
4,2016,"Q1","N"
7,2016,"Q1","D"
6,2016,"Q1","W"
6,2016,"Q1","W"
5,2016,"Q1",NA
5,2016,"Q1","LSU"
3,2016,"Q1","D"
5,2016,"Q1",NA
5,2016,"Q1",NA
14,2016,"Q1","LSU"
6,2016,"Q1","W"
4,2016,"Q1",NA
4,2016,"Q1","W"
10,2016,"Q1","W"
9,2016,"Q1",NA
9,2016,"Q1","W"
9,2016,"Q1","W"
9,2016,"Q1",NA
10,2016,"Q1","W"
10,2016,"Q1","W"
10,2016,"Q1","W"
9,2016,"Q1","N"
6,2016,"Q1","N"
7,2016,"Q1",NA
7,2016,"Q1","LSU"
7,2016,"Q1","LSU"
7,2016,"Q1","LSU"
13,2016,"Q1","N"
7,2016,"Q1","LSU"
7,2016,"Q1","W"
8,2016,"Q1",NA
7,2016,"Q1","D"
9,2016,"Q1","W"
9,2016,"Q1","LSU"
0,2016,"Q1",NA
9,2016,"Q1","LSU"
6,2016,"Q1","W"
7,2016,"Q1","W"
7,2016,"Q1","W"
6,2016,"Q1","N"
6,2016,"Q1","W"
7,2016,"Q1","W"
6,2016,"Q1","W"
7,2016,"Q1","LSU"
7,2016,"Q1","D"
7,2016,"Q1",NA
7,2016,"Q1","W"
7,2016,"Q1","W"
7,2016,"Q1","D"
5,2016,"Q1","D"
5,2016,"Q1","N"
0,2016,"Q1","N"
0,2016,"Q1","LSU"
5,2016,"Q1","W"
6,2016,"Q1","LSU"
5,2016,"Q1","LSU"
6,2016,"Q1","D"
7,2016,"Q1","W"
7,2016,"Q1","W"
7,2016,"Q1","W"
4,2016,"Q1","D"
4,2016,"Q1","D"
5,2016,"Q1","LSU"
4,2016,"Q1","D"
4,2016,"Q1","D"
4,2016,"Q1","D"
5,2016,"Q1","D"
11,2016,"Q1",NA
10,2016,"Q1","LSU"
6,2016,"Q1","D"
